keycol,delay,Taxi_Rides
136_12_16,3,6
137_12_16,0,10
140_12_16,0,26
224_12_16,0,1
225_12_16,0,3
226_12_16,0,5
227_12_16,0,1
228_12_16,0,6
229_12_16,0,4
230_12_16,0,16
232_12_16,0,1
233_12_16,0,1
234_12_16,2,3
235_12_16,0,2
237_12_16,0,1
418_12_16,0,22
419_12_16,0,8
420_12_16,0,35
423_12_16,1,2
611_12_16,2,1
621_12_16,0,2
622_12_16,0,7
623_12_16,1,3
624_12_16,0,1
625_12_16,1,16
626_12_16,0,58
627_12_16,0,24
628_12_16,0,23
629_12_16,0,56
630_12_16,0,42
631_12_16,0,45
632_12_16,2,26
633_12_16,0,40
634_12_16,0,42
635_12_16,0,63
636_12_16,2,21
637_12_16,1,24
638_12_16,2,25
640_12_16,2,9
113_12_17,0,3
114_12_17,1,2
115_12_17,2,5
116_12_17,1,8
117_12_17,3,8
118_12_17,2,16
119_12_17,1,23
120_12_17,2,17
121_12_17,1,48
122_12_17,2,24
123_12_17,1,33
124_12_17,2,46
125_12_17,2,69
126_12_17,2,46
127_12_17,2,12
128_12_17,2,160
129_12_17,2,31
130_12_17,0,29
131_12_17,0,19
132_12_17,0,33
133_12_17,2,22
134_12_17,1,10
135_12_17,0,3
136_12_17,0,5
137_12_17,0,8
138_12_17,3,1
140_12_17,0,37
221_12_17,3,1
225_12_17,0,5
226_12_17,0,2
227_12_17,0,2
228_12_17,0,4
229_12_17,0,3
230_12_17,0,10
232_12_17,0,1
233_12_17,0,1
234_12_17,2,7
235_12_17,1,2
237_12_17,0,1
238_12_17,0,1
415_12_17,0,1
416_12_17,1,2
418_12_17,0,22
419_12_17,0,11
420_12_17,1,29
621_12_17,1,7
622_12_17,1,4
623_12_17,2,4
624_12_17,3,5
625_12_17,3,14
626_12_17,1,76
627_12_17,1,32
628_12_17,0,22
629_12_17,2,68
630_12_17,0,38
631_12_17,0,70
632_12_17,0,19
633_12_17,0,38
634_12_17,2,34
635_12_17,0,33
636_12_17,0,30
637_12_17,1,29
638_12_17,0,35
640_12_17,1,14
113_12_18,0,1
114_12_18,0,1
115_12_18,0,4
116_12_18,0,7
117_12_18,0,12
118_12_18,0,19
119_12_18,0,9
120_12_18,1,30
121_12_18,0,41
122_12_18,2,26
123_12_18,3,35
124_12_18,3,53
125_12_18,0,108
126_12_18,0,35
127_12_18,0,12
128_12_18,1,358
129_12_18,0,37
130_12_18,0,43
131_12_18,1,28
132_12_18,0,29
133_12_18,1,37
134_12_18,2,10
135_12_18,1,5
136_12_18,1,7
137_12_18,0,11
140_12_18,0,35
224_12_18,0,1
225_12_18,0,5
226_12_18,1,2
227_12_18,1,2
228_12_18,0,4
229_12_18,0,5
230_12_18,0,18
231_12_18,0,1
234_12_18,0,2
235_12_18,0,4
236_12_18,0,2
238_12_18,0,1
415_12_18,1,1
418_12_18,0,20
419_12_18,0,7
420_12_18,0,19
423_12_18,1,1
621_12_18,0,7
623_12_18,2,1
624_12_18,1,1
625_12_18,1,15
626_12_18,2,66
627_12_18,1,28
628_12_18,3,24
629_12_18,0,58
630_12_18,0,50
631_12_18,1,78
632_12_18,1,28
633_12_18,0,28
634_12_18,1,42
635_12_18,0,41
636_12_18,0,23
637_12_18,1,23
638_12_18,1,41
640_12_18,0,9
0_12_19,0,42
0_12_19,0,18
0_12_19,0,13
0_12_19,0,21
0_12_19,0,16
0_12_19,0,3
0_12_19,0,1
0_12_19,0,3
112_12_19,3,1
113_12_19,1,4
114_12_19,3,4
115_12_19,1,5
116_12_19,2,6
117_12_19,3,3
118_12_19,3,13
119_12_19,3,18
120_12_19,1,26
121_12_19,2,28
122_12_19,1,26
123_12_19,2,63
124_12_19,2,63
125_12_19,2,88
126_12_19,2,32
127_12_19,2,14
128_12_19,1,380
129_12_19,1,55
130_12_19,2,38
131_12_19,3,22
132_12_19,3,26
133_12_19,2,44
134_12_19,2,9
135_12_19,3,4
136_12_19,2,8
137_12_19,3,11
138_12_19,3,1
140_12_19,0,23
225_12_19,1,5
226_12_19,1,4
227_12_19,0,3
228_12_19,1,7
229_12_19,1,8
230_12_19,0,15
234_12_19,3,3
235_12_19,2,8
236_12_19,1,1
237_12_19,0,2
302_12_19,1,1
411_12_19,2,1
418_12_19,0,24
419_12_19,0,12
420_12_19,2,10
621_12_19,1,1
622_12_19,2,1
623_12_19,2,3
624_12_19,0,3
625_12_19,0,13
626_12_19,0,54
627_12_19,1,23
628_12_19,2,17
629_12_19,3,38
630_12_19,2,40
631_12_19,0,54
632_12_19,3,20
633_12_19,2,41
634_12_19,1,22
635_12_19,0,42
636_12_19,0,25
637_12_19,1,21
638_12_19,1,40
640_12_19,0,4
0_12_20,0,34
0_12_20,0,14
0_12_20,0,12
0_12_20,0,29
0_12_20,0,14
0_12_20,0,2
0_12_20,0,2
104_12_20,1,1
112_12_20,2,2
113_12_20,3,2
114_12_20,2,4
115_12_20,2,1
116_12_20,3,11
117_12_20,2,3
118_12_20,3,8
119_12_20,3,12
120_12_20,6,23
121_12_20,4,30
122_12_20,3,19
123_12_20,5,35
124_12_20,3,39
125_12_20,3,54
126_12_20,4,23
127_12_20,6,28
128_12_20,6,296
129_12_20,4,35
130_12_20,4,30
131_12_20,3,21
132_12_20,5,23
133_12_20,3,48
134_12_20,3,7
135_12_20,3,6
136_12_20,3,3
137_12_20,6,4
140_12_20,2,15
219_12_20,6,1
224_12_20,2,2
225_12_20,2,7
226_12_20,3,5
227_12_20,3,4
228_12_20,2,7
229_12_20,2,4
230_12_20,2,5
231_12_20,2,1
234_12_20,6,3
235_12_20,5,7
237_12_20,3,3
302_12_20,3,1
410_12_20,2,1
415_12_20,2,1
418_12_20,2,8
419_12_20,2,4
420_12_20,2,4
423_12_20,4,1
607_12_20,2,1
617_12_20,3,1
621_12_20,4,9
623_12_20,2,3
624_12_20,2,3
625_12_20,2,11
626_12_20,5,45
627_12_20,3,23
628_12_20,2,16
629_12_20,4,33
630_12_20,2,29
631_12_20,5,70
632_12_20,2,24
633_12_20,3,37
634_12_20,3,43
635_12_20,4,35
636_12_20,3,16
637_12_20,2,16
638_12_20,2,36
640_12_20,6,4
0_13_7,0,36
0_13_7,0,15
0_13_7,0,27
0_13_7,0,4
0_13_7,0,2
0_13_7,0,2
113_13_7,0,4
114_13_7,1,4
115_13_7,0,9
116_13_7,1,5
117_13_7,1,5
118_13_7,1,23
119_13_7,0,11
120_13_7,0,19
121_13_7,0,23
122_13_7,0,17
123_13_7,0,30
124_13_7,0,29
125_13_7,0,22
126_13_7,0,13
127_13_7,0,17
128_13_7,0,482
129_13_7,0,30
130_13_7,0,39
131_13_7,0,16
132_13_7,0,19
133_13_7,0,13
134_13_7,0,4
135_13_7,0,3
136_13_7,0,1
137_13_7,0,6
140_13_7,0,19
221_13_7,1,1
224_13_7,0,2
225_13_7,0,1
226_13_7,0,3
227_13_7,0,1
228_13_7,0,8
229_13_7,0,3
230_13_7,0,17
234_13_7,0,4
235_13_7,0,5
236_13_7,0,1
250_13_7,0,1
418_13_7,0,6
419_13_7,0,2
420_13_7,0,3
423_13_7,0,2
608_13_7,0,1
621_13_7,0,3
622_13_7,0,7
623_13_7,1,3
624_13_7,0,4
625_13_7,0,26
626_13_7,0,58
627_13_7,0,19
628_13_7,0,23
629_13_7,0,7
630_13_7,0,28
631_13_7,0,54
632_13_7,0,44
633_13_7,0,25
634_13_7,0,50
635_13_7,0,25
636_13_7,0,26
637_13_7,0,16
638_13_7,0,20
640_13_7,0,2
0_13_8,0,21
0_13_8,0,17
0_13_8,0,19
0_13_8,0,9
0_13_8,0,2
0_13_8,0,1
0_13_8,0,1
103_13_8,1,1
113_13_8,1,4
114_13_8,1,4
115_13_8,0,3
116_13_8,2,7
117_13_8,0,6
118_13_8,0,29
119_13_8,0,20
120_13_8,0,19
121_13_8,0,24
122_13_8,0,20
123_13_8,0,40
124_13_8,0,40
125_13_8,1,45
126_13_8,1,27
127_13_8,0,18
128_13_8,1,299
129_13_8,0,35
130_13_8,0,32
131_13_8,1,24
132_13_8,0,26
133_13_8,1,7
134_13_8,0,4
136_13_8,0,3
137_13_8,0,12
138_13_8,3,1
140_13_8,0,19
224_13_8,0,5
225_13_8,0,3
226_13_8,0,3
227_13_8,0,1
228_13_8,0,14
229_13_8,0,4
230_13_8,0,9
231_13_8,0,1
235_13_8,0,1
236_13_8,0,1
237_13_8,0,2
418_13_8,0,7
419_13_8,0,6
420_13_8,0,10
621_13_8,0,5
622_13_8,0,5
624_13_8,0,6
625_13_8,1,33
626_13_8,0,68
627_13_8,0,27
628_13_8,0,22
629_13_8,0,20
630_13_8,0,32
631_13_8,0,114
632_13_8,0,49
633_13_8,0,44
634_13_8,0,47
635_13_8,0,32
636_13_8,0,12
637_13_8,0,25
638_13_8,0,28
640_13_8,0,3
0_13_9,0,21
0_13_9,0,5
0_13_9,0,15
0_13_9,0,31
0_13_9,0,1
0_13_9,0,7
0_13_9,0,4
0_13_9,0,7
112_13_9,0,2
113_13_9,0,4
114_13_9,0,2
115_13_9,0,5
116_13_9,0,4
117_13_9,0,8
118_13_9,1,36
119_13_9,0,14
120_13_9,0,14
121_13_9,0,23
122_13_9,0,25
123_13_9,0,37
124_13_9,1,27
125_13_9,0,43
126_13_9,0,15
127_13_9,0,19
128_13_9,0,294
129_13_9,0,44
130_13_9,0,44
131_13_9,1,25
132_13_9,1,25
133_13_9,1,13
134_13_9,1,5
135_13_9,3,3
136_13_9,0,2
137_13_9,0,16
138_13_9,2,2
140_13_9,0,19
224_13_9,0,1
225_13_9,0,1
226_13_9,0,2
227_13_9,0,1
228_13_9,0,9
229_13_9,0,2
230_13_9,0,12
232_13_9,0,1
234_13_9,0,3
235_13_9,0,2
418_13_9,0,2
419_13_9,0,7
420_13_9,0,7
621_13_9,0,2
622_13_9,0,1
623_13_9,0,3
624_13_9,1,5
625_13_9,0,15
626_13_9,0,52
627_13_9,0,22
628_13_9,0,33
629_13_9,0,20
630_13_9,0,31
631_13_9,0,65
632_13_9,0,29
633_13_9,1,43
634_13_9,1,47
635_13_9,0,28
636_13_9,0,20
637_13_9,0,16
638_13_9,1,23
640_13_9,1,2
0_13_10,0,23
0_13_10,0,4
0_13_10,0,9
0_13_10,0,24
0_13_10,0,2
0_13_10,0,1
0_13_10,0,2
0_13_10,0,2
112_13_10,0,1
113_13_10,0,1
115_13_10,0,1
116_13_10,0,7
117_13_10,2,9
118_13_10,1,17
119_13_10,1,14
120_13_10,0,26
121_13_10,0,30
122_13_10,0,25
123_13_10,0,31
124_13_10,2,37
125_13_10,0,45
126_13_10,0,29
127_13_10,0,14
128_13_10,0,282
129_13_10,1,33
130_13_10,0,26
131_13_10,0,21
132_13_10,0,20
133_13_10,0,11
134_13_10,1,11
135_13_10,1,4
137_13_10,0,9
140_13_10,0,17
225_13_10,0,1
226_13_10,0,3
228_13_10,0,3
229_13_10,0,9
230_13_10,0,16
232_13_10,0,2
235_13_10,0,1
236_13_10,0,1
250_13_10,0,1
418_13_10,0,12
419_13_10,0,7
420_13_10,0,5
622_13_10,0,2
623_13_10,0,2
624_13_10,0,1
625_13_10,0,13
626_13_10,0,57
627_13_10,0,33
628_13_10,1,24
629_13_10,0,19
630_13_10,0,38
631_13_10,0,59
632_13_10,0,35
633_13_10,0,34
634_13_10,0,28
635_13_10,0,30
636_13_10,0,16
637_13_10,0,17
638_13_10,0,20
640_13_10,1,1
0_13_11,0,27
0_13_11,0,13
0_13_11,0,5
0_13_11,0,28
0_13_11,0,7
0_13_11,0,1
0_13_11,0,5
113_13_11,1,1
114_13_11,1,1
115_13_11,1,1
116_13_11,0,4
117_13_11,0,5
118_13_11,1,20
119_13_11,1,7
120_13_11,0,25
121_13_11,0,24
122_13_11,2,24
123_13_11,1,39
124_13_11,0,44
125_13_11,1,45
126_13_11,0,22
127_13_11,0,18
128_13_11,0,203
129_13_11,0,42
130_13_11,0,29
131_13_11,1,16
132_13_11,1,17
133_13_11,1,14
134_13_11,1,14
135_13_11,1,9
136_13_11,0,3
137_13_11,1,9
138_13_11,3,2
140_13_11,0,11
221_13_11,0,1
224_13_11,0,1
225_13_11,0,1
226_13_11,0,2
228_13_11,0,6
229_13_11,0,4
230_13_11,0,14
235_13_11,0,1
418_13_11,0,7
419_13_11,0,7
420_13_11,0,6
621_13_11,0,2
622_13_11,0,3
623_13_11,0,1
624_13_11,2,1
625_13_11,0,7
626_13_11,0,65
627_13_11,0,25
628_13_11,0,30
629_13_11,0,30
630_13_11,0,47
631_13_11,0,62
632_13_11,0,34
633_13_11,0,39
634_13_11,0,24
635_13_11,0,19
636_13_11,1,22
637_13_11,0,12
638_13_11,0,22
640_13_11,0,2
0_13_12,0,43
0_13_12,0,12
0_13_12,0,7
0_13_12,0,28
0_13_12,0,6
0_13_12,0,1
0_13_12,0,3
0_13_12,0,4
113_13_12,0,1
114_13_12,0,1
115_13_12,0,2
116_13_12,1,4
117_13_12,0,6
118_13_12,0,14
119_13_12,3,14
120_13_12,1,14
121_13_12,2,36
122_13_12,0,47
123_13_12,0,43
124_13_12,2,49
125_13_12,1,57
126_13_12,2,26
127_13_12,0,18
128_13_12,1,215
129_13_12,1,35
130_13_12,0,35
131_13_12,1,27
132_13_12,0,27
133_13_12,1,12
134_13_12,1,11
135_13_12,1,3
136_13_12,0,2
137_13_12,0,9
138_13_12,2,2
140_13_12,0,18
225_13_12,0,4
226_13_12,0,4
228_13_12,0,5
229_13_12,0,8
230_13_12,0,13
235_13_12,0,1
237_13_12,0,1
418_13_12,0,8
419_13_12,0,7
420_13_12,0,18
622_13_12,0,3
623_13_12,0,2
624_13_12,1,4
625_13_12,0,17
626_13_12,1,79
627_13_12,0,31
628_13_12,0,35
629_13_12,0,51
630_13_12,0,46
631_13_12,0,49
632_13_12,0,56
633_13_12,2,44
634_13_12,0,29
635_13_12,0,15
636_13_12,0,16
637_13_12,0,16
638_13_12,0,32
640_13_12,0,8
0_13_13,0,32
0_13_13,0,6
0_13_13,0,6
0_13_13,0,27
0_13_13,0,4
0_13_13,0,2
0_13_13,0,3
0_13_13,0,2
113_13_13,0,1
114_13_13,2,1
115_13_13,0,4
116_13_13,0,4
117_13_13,0,7
118_13_13,1,12
119_13_13,1,14
120_13_13,0,33
121_13_13,0,33
122_13_13,0,26
123_13_13,1,38
124_13_13,0,36
125_13_13,0,82
126_13_13,1,25
127_13_13,0,13
128_13_13,1,192
129_13_13,1,51
130_13_13,0,29
131_13_13,1,16
132_13_13,2,15
133_13_13,1,9
134_13_13,1,10
135_13_13,3,3
136_13_13,1,2
137_13_13,0,12
138_13_13,3,1
140_13_13,0,19
224_13_13,0,1
225_13_13,0,4
226_13_13,0,1
228_13_13,0,9
229_13_13,0,7
230_13_13,0,6
301_13_13,1,1
418_13_13,0,11
419_13_13,0,11
420_13_13,0,21
423_13_13,0,1
621_13_13,0,2
622_13_13,0,7
623_13_13,0,1
624_13_13,0,6
625_13_13,1,13
626_13_13,0,66
627_13_13,0,35
628_13_13,1,20
629_13_13,2,46
630_13_13,1,49
631_13_13,0,69
632_13_13,1,38
633_13_13,1,43
634_13_13,0,39
635_13_13,0,26
636_13_13,0,26
637_13_13,0,12
638_13_13,0,19
640_13_13,0,3
0_13_14,0,37
0_13_14,0,18
0_13_14,0,9
0_13_14,0,23
0_13_14,0,5
0_13_14,0,2
0_13_14,0,2
0_13_14,0,3
110_13_14,2,1
111_13_14,0,1
113_13_14,0,1
114_13_14,2,2
115_13_14,0,2
116_13_14,0,8
117_13_14,0,5
118_13_14,1,13
119_13_14,1,13
120_13_14,0,17
121_13_14,0,34
122_13_14,0,40
123_13_14,0,48
124_13_14,0,41
125_13_14,0,74
126_13_14,1,28
127_13_14,0,13
128_13_14,0,197
129_13_14,1,28
130_13_14,0,36
131_13_14,0,23
132_13_14,0,9
133_13_14,1,11
134_13_14,1,11
136_13_14,1,4
137_13_14,0,9
140_13_14,0,12
225_13_14,0,2
226_13_14,0,2
228_13_14,0,11
229_13_14,0,2
230_13_14,0,18
232_13_14,0,2
234_13_14,0,4
235_13_14,0,1
236_13_14,0,1
238_13_14,1,1
301_13_14,1,1
418_13_14,0,14
419_13_14,0,7
420_13_14,0,27
621_13_14,0,2
622_13_14,2,1
623_13_14,1,3
624_13_14,1,2
625_13_14,0,21
626_13_14,1,71
627_13_14,1,39
628_13_14,1,15
629_13_14,0,56
630_13_14,1,50
631_13_14,1,72
632_13_14,1,52
633_13_14,2,58
634_13_14,2,42
635_13_14,0,42
636_13_14,1,26
637_13_14,1,12
638_13_14,2,27
640_13_14,0,4
0_13_15,0,32
0_13_15,0,14
0_13_15,0,11
0_13_15,0,30
0_13_15,0,10
0_13_15,0,2
0_13_15,0,4
112_13_15,0,2
114_13_15,0,1
115_13_15,0,1
116_13_15,0,3
117_13_15,1,4
118_13_15,0,18
119_13_15,0,16
120_13_15,0,26
121_13_15,0,37
122_13_15,0,30
123_13_15,0,50
124_13_15,1,55
125_13_15,0,87
126_13_15,0,51
127_13_15,0,13
128_13_15,1,168
129_13_15,0,45
130_13_15,1,28
131_13_15,0,16
132_13_15,0,18
133_13_15,0,15
134_13_15,0,8
135_13_15,1,3
137_13_15,0,6
138_13_15,2,1
140_13_15,0,25
221_13_15,0,1
224_13_15,0,1
225_13_15,0,2
226_13_15,0,1
228_13_15,0,17
229_13_15,0,3
230_13_15,0,7
231_13_15,0,1
235_13_15,0,1
236_13_15,0,1
301_13_15,0,2
302_13_15,0,1
413_13_15,0,1
418_13_15,0,9
419_13_15,0,11
420_13_15,0,21
621_13_15,0,2
622_13_15,0,1
623_13_15,0,1
624_13_15,0,3
625_13_15,0,23
626_13_15,0,92
627_13_15,0,71
628_13_15,0,18
629_13_15,0,63
630_13_15,0,36
631_13_15,0,44
632_13_15,0,50
633_13_15,0,51
634_13_15,0,44
635_13_15,0,33
636_13_15,1,25
637_13_15,0,26
638_13_15,0,34
640_13_15,0,6
0_13_16,0,29
0_13_16,0,15
0_13_16,0,7
0_13_16,0,23
0_13_16,0,8
0_13_16,0,1
0_13_16,0,1
0_13_16,0,4
112_13_16,0,2
116_13_16,0,4
117_13_16,0,7
118_13_16,1,17
119_13_16,0,11
120_13_16,0,18
121_13_16,1,31
122_13_16,0,34
123_13_16,0,37
124_13_16,0,52
125_13_16,0,56
126_13_16,0,28
127_13_16,0,14
128_13_16,0,166
129_13_16,0,37
130_13_16,0,41
131_13_16,0,16
132_13_16,0,18
133_13_16,0,7
134_13_16,0,10
135_13_16,0,5
136_13_16,2,3
137_13_16,0,10
138_13_16,2,2
140_13_16,0,24
224_13_16,0,2
225_13_16,0,2
226_13_16,0,1
227_13_16,0,2
228_13_16,0,14
229_13_16,0,4
230_13_16,0,13
233_13_16,0,1
235_13_16,0,1
410_13_16,1,1
418_13_16,0,14
419_13_16,0,9
420_13_16,0,17
621_13_16,0,4
622_13_16,0,3
623_13_16,0,1
624_13_16,0,2
625_13_16,0,14
626_13_16,0,76
627_13_16,1,43
628_13_16,0,27
629_13_16,0,46
630_13_16,0,39
631_13_16,0,34
632_13_16,0,32
633_13_16,0,38
634_13_16,0,38
635_13_16,0,42
636_13_16,0,32
637_13_16,0,21
638_13_16,0,22
640_13_16,0,7
0_13_17,0,46
0_13_17,0,7
0_13_17,0,9
0_13_17,0,25
0_13_17,0,6
0_13_17,0,2
0_13_17,0,4
111_13_17,1,1
112_13_17,0,1
113_13_17,0,1
115_13_17,1,3
116_13_17,1,1
117_13_17,0,10
118_13_17,0,13
119_13_17,1,18
120_13_17,1,19
121_13_17,1,39
122_13_17,1,27
123_13_17,0,43
124_13_17,0,52
125_13_17,0,73
126_13_17,0,44
127_13_17,0,17
128_13_17,0,175
129_13_17,0,38
130_13_17,0,43
131_13_17,0,23
132_13_17,1,21
133_13_17,0,9
134_13_17,1,13
135_13_17,0,5
136_13_17,0,2
137_13_17,0,14
138_13_17,3,1
140_13_17,0,19
224_13_17,0,1
225_13_17,0,6
226_13_17,0,4
228_13_17,0,10
229_13_17,0,4
230_13_17,0,7
231_13_17,1,2
232_13_17,0,1
234_13_17,0,1
235_13_17,0,1
301_13_17,0,1
415_13_17,0,1
418_13_17,0,13
419_13_17,0,7
420_13_17,0,22
621_13_17,0,4
622_13_17,0,6
623_13_17,0,2
624_13_17,0,1
625_13_17,0,4
626_13_17,0,73
627_13_17,0,41
628_13_17,0,24
629_13_17,0,69
630_13_17,0,75
631_13_17,0,38
632_13_17,0,54
633_13_17,0,57
634_13_17,0,52
635_13_17,0,32
636_13_17,1,29
637_13_17,0,18
638_13_17,0,24
640_13_17,1,7
0_13_18,0,44
0_13_18,0,11
0_13_18,0,14
0_13_18,0,23
0_13_18,0,11
0_13_18,0,1
0_13_18,0,4
0_13_18,0,2
112_13_18,1,1
113_13_18,0,4
114_13_18,0,2
115_13_18,1,6
116_13_18,0,3
117_13_18,0,8
118_13_18,1,18
119_13_18,0,19
120_13_18,0,27
121_13_18,0,36
122_13_18,0,40
123_13_18,0,58
124_13_18,0,58
125_13_18,0,125
126_13_18,0,41
127_13_18,1,17
128_13_18,1,188
129_13_18,0,43
130_13_18,0,41
131_13_18,0,35
132_13_18,0,29
133_13_18,1,9
134_13_18,0,19
135_13_18,0,8
136_13_18,0,5
137_13_18,0,16
140_13_18,0,27
224_13_18,1,1
225_13_18,0,4
226_13_18,0,2
227_13_18,0,1
228_13_18,0,19
229_13_18,0,6
230_13_18,0,26
234_13_18,0,3
235_13_18,0,2
237_13_18,0,1
238_13_18,1,1
418_13_18,0,28
419_13_18,0,10
420_13_18,0,11
621_13_18,0,5
622_13_18,0,2
623_13_18,0,4
624_13_18,1,6
625_13_18,1,19
626_13_18,0,76
627_13_18,0,34
628_13_18,0,33
629_13_18,0,86
630_13_18,0,92
631_13_18,0,86
632_13_18,0,62
633_13_18,0,70
634_13_18,1,67
635_13_18,0,39
636_13_18,0,44
637_13_18,0,27
638_13_18,0,33
640_13_18,1,7
115_13_19,2,1
116_13_19,2,5
117_13_19,2,10
118_13_19,1,15
119_13_19,2,16
120_13_19,3,27
122_13_19,1,32
123_13_19,3,70
125_13_19,1,114
126_13_19,1,52
127_13_19,2,18
128_13_19,3,185
129_13_19,2,46
130_13_19,1,40
131_13_19,1,32
132_13_19,3,16
133_13_19,2,19
134_13_19,1,23
135_13_19,1,5
136_13_19,2,8
137_13_19,3,21
138_13_19,2,2
225_13_19,2,1
226_13_19,2,1
227_13_19,2,1
228_13_19,2,13
229_13_19,2,11
230_13_19,2,24
232_13_19,1,2
235_13_19,2,5
239_13_19,3,1
418_13_19,1,20
419_13_19,2,17
420_13_19,2,12
621_13_19,3,1
623_13_19,2,4
624_13_19,2,3
626_13_19,4,70
627_13_19,1,37
629_13_19,3,66
630_13_19,1,89
631_13_19,4,61
632_13_19,2,64
634_13_19,1,57
635_13_19,3,27
636_13_19,1,23
637_13_19,1,26
638_13_19,1,48
640_13_19,2,10
0_14_7,0,33
0_14_7,0,3
0_14_7,0,14
0_14_7,0,44
0_14_7,0,7
0_14_7,0,1
0_14_7,0,1
112_14_7,2,1
113_14_7,2,2
114_14_7,2,5
115_14_7,0,3
116_14_7,0,9
117_14_7,0,6
118_14_7,0,15
119_14_7,0,11
120_14_7,0,24
121_14_7,0,27
122_14_7,0,22
123_14_7,0,33
124_14_7,0,45
125_14_7,0,48
126_14_7,0,22
127_14_7,0,11
128_14_7,0,434
129_14_7,0,30
130_14_7,0,26
131_14_7,0,14
132_14_7,1,20
133_14_7,0,16
134_14_7,1,2
135_14_7,0,3
136_14_7,0,3
137_14_7,0,9
140_14_7,0,18
224_14_7,0,2
225_14_7,0,4
226_14_7,1,4
228_14_7,0,7
229_14_7,0,4
230_14_7,0,11
234_14_7,0,2
235_14_7,0,2
236_14_7,0,2
238_14_7,0,1
302_14_7,0,1
416_14_7,0,2
418_14_7,0,4
419_14_7,0,1
420_14_7,0,3
423_14_7,0,1
619_14_7,0,1
621_14_7,1,6
622_14_7,0,6
623_14_7,0,4
624_14_7,0,3
625_14_7,0,32
626_14_7,1,79
627_14_7,0,33
628_14_7,0,18
629_14_7,0,13
630_14_7,0,25
631_14_7,0,67
632_14_7,0,31
633_14_7,0,23
634_14_7,0,45
635_14_7,0,28
636_14_7,0,12
637_14_7,0,14
638_14_7,0,14
640_14_7,0,4
0_14_8,0,30
0_14_8,0,5
0_14_8,0,16
0_14_8,0,26
0_14_8,0,12
0_14_8,0,1
106_14_8,1,1
112_14_8,1,1
113_14_8,0,8
114_14_8,0,5
115_14_8,0,4
116_14_8,0,8
117_14_8,0,2
118_14_8,0,32
119_14_8,0,22
120_14_8,1,30
121_14_8,0,20
122_14_8,3,27
123_14_8,1,57
124_14_8,1,35
125_14_8,1,52
126_14_8,1,21
127_14_8,0,25
128_14_8,1,281
129_14_8,1,32
130_14_8,2,31
131_14_8,1,30
132_14_8,0,24
133_14_8,2,11
134_14_8,1,7
135_14_8,1,6
136_14_8,1,4
137_14_8,0,11
140_14_8,0,13
224_14_8,0,2
225_14_8,0,3
226_14_8,0,5
227_14_8,0,1
228_14_8,0,7
229_14_8,0,1
230_14_8,0,11
231_14_8,0,4
235_14_8,0,1
302_14_8,1,1
418_14_8,0,4
419_14_8,0,6
420_14_8,0,2
423_14_8,0,1
621_14_8,0,4
622_14_8,0,4
623_14_8,1,2
624_14_8,0,3
625_14_8,1,16
626_14_8,0,57
627_14_8,0,28
628_14_8,0,16
629_14_8,0,7
630_14_8,0,42
631_14_8,0,108
632_14_8,0,61
633_14_8,0,56
634_14_8,0,60
635_14_8,0,33
636_14_8,0,21
637_14_8,0,30
638_14_8,0,17
0_14_9,1,31
0_14_9,1,5
0_14_9,1,14
0_14_9,1,33
0_14_9,1,14
0_14_9,1,2
0_14_9,1,4
0_14_9,1,1
112_14_9,1,2
113_14_9,1,2
115_14_9,2,3
116_14_9,0,5
117_14_9,2,16
118_14_9,1,25
119_14_9,0,26
120_14_9,0,25
121_14_9,1,44
122_14_9,1,58
123_14_9,0,52
124_14_9,0,44
125_14_9,0,67
126_14_9,0,31
127_14_9,0,20
128_14_9,0,208
129_14_9,2,52
130_14_9,1,30
131_14_9,0,21
132_14_9,0,33
133_14_9,0,29
134_14_9,1,7
135_14_9,1,7
136_14_9,0,4
137_14_9,1,16
138_14_9,1,1
140_14_9,0,22
224_14_9,1,1
226_14_9,1,4
227_14_9,0,1
228_14_9,0,12
229_14_9,0,3
230_14_9,0,13
232_14_9,0,1
235_14_9,0,1
237_14_9,0,1
418_14_9,0,7
419_14_9,0,9
420_14_9,0,8
621_14_9,0,5
622_14_9,0,2
623_14_9,0,3
625_14_9,0,31
626_14_9,0,62
627_14_9,0,33
628_14_9,0,41
629_14_9,0,19
630_14_9,0,47
631_14_9,0,48
632_14_9,1,56
633_14_9,0,48
634_14_9,0,43
635_14_9,0,29
636_14_9,0,16
637_14_9,0,21
638_14_9,0,23
0_14_10,0,30
0_14_10,0,4
0_14_10,0,8
0_14_10,0,28
0_14_10,0,9
0_14_10,0,3
0_14_10,0,5
0_14_10,0,3
112_14_10,1,1
113_14_10,1,3
114_14_10,1,1
115_14_10,0,1
116_14_10,0,1
117_14_10,0,11
118_14_10,1,28
119_14_10,1,20
120_14_10,0,14
121_14_10,2,29
122_14_10,1,35
123_14_10,0,54
124_14_10,2,52
125_14_10,0,62
126_14_10,0,22
127_14_10,1,11
128_14_10,0,280
129_14_10,1,41
130_14_10,1,29
131_14_10,0,32
132_14_10,1,18
133_14_10,2,17
134_14_10,0,8
135_14_10,1,9
136_14_10,1,5
137_14_10,0,24
138_14_10,1,3
140_14_10,0,12
225_14_10,1,5
228_14_10,0,5
229_14_10,0,9
230_14_10,0,11
234_14_10,0,2
235_14_10,0,1
236_14_10,0,1
238_14_10,0,1
302_14_10,2,1
416_14_10,0,1
